SaleID,price
200000,1257.692308
200001,1880.692308
200002,9797.923077
200003,1061.307692
200004,1976.769231
200005,1519
200006,340.3846154
200007,3423.076923
200008,8000
200009,618.1538462
200010,557.6923077
200011,2559.692308
200012,5292.615385
200013,7707.230769
200014,1316.923077
200015,251.5384615
200016,1719.153846
200017,8161.384615
200018,6830.538462
200019,785.9230769
200020,24089.15385
200021,7476.846154
200022,1953.615385
200023,1466
200024,773
200025,9696.153846
200026,234.6153846
200027,12761.23077
200028,4069.230769
200029,7841.461538
200030,19319.07692
200031,13603.07692
200032,603.7692308
200033,13139.15385
200034,483.6923077
200035,2056.769231
200036,14867.61538
200037,5987.615385
200038,1530.384615
200039,342.6923077
200040,625.4615385
200041,24605.30769
200042,436.1538462
200043,8319.769231
200044,17607.23077
200045,582.0769231
200046,16752.15385
200047,18136.92308
200048,2392.230769
200049,3083.769231
200050,514
200051,4481.384615
200052,2565.230769
200053,492.0769231
200054,13853.30769
200055,10364.46154
200056,7972
200057,3505.692308
200058,1265.076923
200059,5234.384615
200060,8038.153846
200061,1224.076923
200062,5544.846154
200063,8747.076923
200064,1299.846154
200065,1764.538462
200066,532.1538462
200067,10707.30769
200068,199.9230769
200069,18308.84615
200070,9029.846154
200071,282.3076923
200072,6625.307692
200073,20407.61538
200074,4787.692308
200075,17280.69231
200076,2922.153846
200077,496.1538462
200078,361.3846154
200079,3081.846154
200080,3333.615385
200081,2009.076923
200082,4006.923077
200083,430.7692308
200084,1230.538462
200085,926.8461538
200086,6983.769231
200087,3338.461538
200088,2363.307692
200089,41400
200090,2856
200091,194.3846154
200092,1922.846154
200093,17176.92308
200094,6626.230769
200095,5975.384615
200096,2651.538462
200097,1223.076923
200098,421.9230769
200099,19425.92308
200100,20932.23077
200101,7284.538462
200102,1711.461538
200103,10883
200104,5532.846154
200105,4153.846154
200106,9218.461538
200107,2007.615385
200108,15373.30769
200109,7850.384615
200110,956.5384615
200111,1910.923077
200112,1806.076923
200113,792.7692308
200114,2172.307692
200115,1331.384615
200116,13855.92308
200117,15189.92308
200118,66198.46154
200119,210.3076923
200120,3420.538462
200121,2756
200122,688.1538462
200123,2426.153846
200124,54641.53846
200125,866.4615385
200126,3510.615385
200127,15186.76923
200128,1372.846154
200129,5763.846154
200130,3703
200131,3082.076923
200132,1250.769231
200133,2353.538462
200134,1261.384615
200135,2819.076923
200136,3939.615385
200137,1203.769231
200138,10527.53846
200139,6558.076923
200140,2580.538462
200141,1499.846154
200142,7307.615385
200143,9567.923077
200144,1325.692308
200145,6438.461538
200146,2661.538462
200147,4596.076923
